Member_PortId,FileDate,CreateLoadId,CreateSourceId,LastUpdateLoadId,LastUpdateSourceId,AccountNumber,AccountNumberStem,AccountNumberJointIdentifier,RolloverInd,CreditExtensionInd,AccountTypeId,StartDate,EndDate,BalanceAmount,CreditLimitAmount,RepaymentFrequencyId,NextPaymentAmount,AccountStatusId,OverduePayments,ChangeToPaymentTermsInd,Title,Forename,Othername,Surname,NameSuffix,DateOfBirth,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,ProcessId,ResidenceId,SupplierName,SupplierTypeCode,SupplierTypeDescription,AccountId
62,2016-04-14 15:20:58.240,9999,9999,9999,9999,ABC24233567890123 1,ABC24233567890123,1,1,1,1,2016-04-14 15:20:58.240,2016-04-14 15:20:58.240,9800,10000,2,12,1,1,0,NULL,CATHY,NULL,BON BON,NULL,1959-01-02 00:00:00.000,14 SUGAR TERRACE,NULL,NULL,NULL,X9 2TR,5925837,152972217,LENDER 2,FN,Finance House,3
62,2016-04-14 15:20:58.240,8888,8888,8888,8888,ABC61233567890123 1,ABC61233567890123,1,1,1,1,2016-04-14 15:20:58.240,2016-04-14 15:20:58.240,2450,10000,2,12,1,1,0,NULL,FRUIT,NULL,PASTELL,NULL,1969-01-02 00:00:00.000,32 SUGAR TERRACE,NULL,NULL,NULL,X9 2TR,5925837,152972198,LENDER 1,FN,Finance House,2
62,2018-06-27 00:00:00.000,1777,1777,1777,1777,ABCD3123456789012 1,ABCD3123456789012,0,1,1,4,2018-05-27 00:00:00.000,NULL,400,10000,3,40,2,1,0,MR,MICHAELANGELO,NULL,TURTLE,NULL,2001-02-01 00:00:00.000,8 CHUCKLE BROS AVENUE,TEST TOWN,NULL,NULL,X9 9AA,5925837,255180121,Test Data BSoc,BS,Building Society,5
62,2018-06-27 00:00:00.000,1888,1888,1888,1888,ABCD4123456789012 1,ABCD4123456789012,1,1,1,5,2018-05-27 00:00:00.000,NULL,500,10000,1,50,2,1,0,MR,BILLY,NULL,BAGPUSS,NULL,1960-12-12 00:00:00.000,702 PROFESSIONAL STREET,TEST TOWN,NULL,NULL,X9 9PS,5925837,245376633,Test Data CrdBrk,CB,Credit Broker,6
62,2018-06-27 00:00:00.000,1999,1999,1999,1999,ABCD5123456789012 1,ABCD5123456789012,1,1,1,6,2018-05-27 00:00:00.000,NULL,600,10000,3,60,2,1,0,MISS,HARRIET,NULL,HYACINTH,NULL,1972-10-07 00:00:00.000,5 FLOWER STREET,TEST TOWN,NULL,NULL,X9 9AJ,5925837,147233395,Test Data CC,CC,Credit Card Company,7
62,2018-06-27 00:00:00.000,2888,2888,2888,2888,ABCDC123456789012 1,ABCDC123456789012,1,1,1,5,2018-05-27 00:00:00.000,NULL,500,10000,1,50,2,1,0,MR,BILLY,NULL,BAGPUSS,NULL,1960-12-12 00:00:00.000,702 PROFESSIONAL STREET,TEST TOWN,NULL,NULL,X9 9PS,5925837,245376633,Test Data CrdBrk,CB,Credit Broker,8
62,2018-06-27 00:00:00.000,2999,2999,2999,2999,ABCDE123456789012 1,ABCDE123456789012,1,1,1,6,2018-05-27 00:00:00.000,NULL,600,10000,3,60,2,1,0,MISS,HARRIET,NULL,HYACINTH,NULL,1972-10-07 00:00:00.000,5 FLOWER STREET,TEST TOWN,NULL,NULL,X9 9AJ,5925837,147233395,Test Data CC,CC,Credit Card Company,9
62,2018-06-27 00:00:00.000,1237,2348,1237,2348,ABCDL123456789012 1,ABCDL123456789012,1,1,1,4,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,400,4000,6,5,1,0,0,MISS,BLACK,NULL,ALDER,NULL,1974-01-01 00:00:00.000,1 CR7 STREET,TEST TOWN,NULL,NULL,X9 7RP,5734168,201620200,Test Data Government,GO,Government,10
62,2018-06-27 00:00:00.000,1238,2349,1238,2349,ABCDM123456789012 1,ABCDM123456789012,0,0,0,5,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,500,5000,3,NULL,1,0,0,MR,COLIN,NULL,CVDATA,NULL,1980-01-19 00:00:00.000,47 MONOPOLY CLOSE,TEST TOWN,NULL,NULL,X9 8HJ,5734168,238583423,Test Data Home Credit,HC,Home Credit,11
62,2018-06-27 00:00:00.000,1239,2350,1239,2350,ABCDN123456789012 1,ABCDN123456789012,0,0,1,6,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,60000,NULL,3,30,1,0,0,MR,ALBERT,NULL,MCLAREN,NULL,1975-02-02 00:00:00.000,1 FIA LANE,TEST TOWN,NULL,NULL,X9 9AB,5734168,146509120,Test Data Home Shopping,HS,Home Shopping,12
62,2016-04-14 15:20:58.240,7777,7777,7777,7777,ACC11033567890123 1,ACC11033567890123,1,1,1,1,2016-04-14 15:20:58.240,2016-04-14 15:20:58.240,800,10000,2,12,1,1,0,NULL,TERRY,NULL,MOON,NULL,1969-03-08 00:00:00.000,8 STAR STREET,NULL,NULL,NULL,X9 9AR,5925837,149372932,XXXX,FN,Finance House,1
63,2018-06-27 00:00:00.000,1333,1337,1333,1333,ABCD6123456789012 1,ABCD6123456789012,0,1,0,7,2018-05-27 00:00:00.000,NULL,700,1000,3,70,1,0,0,MRS,LESLIE,NULL,WANDOPE,NULL,1974-03-12 00:00:00.000,213 BSB AVENUE,TEST TOWN,NULL,NULL,X9 9AY,5925833,187268560,Test Data CrdUnion,CU,Credit Union,2
63,2018-06-27 00:00:00.000,1240,2351,1240,2351,ABCDO123456789012 1,ABCDO123456789012,0,1,0,7,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,700,5000,2,200,1,0,0,MRS,ANNIE,NULL,MCLAREN,NULL,1975-02-02 00:00:00.000,1 FIA LANE,TEST TOWN,NULL,NULL,X9 9AB,5734168,164970502,Test Data Insurance Company,IN,Insurance Company,10
63,2018-06-27 00:00:00.000,1241,2352,1241,2352,ABCDP123456789012 1,ABCDP123456789012,0,1,1,8,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,800,5000,4,45,2,1,0,MR,TERRY,NULL,TORO ROSSO,NULL,1975-02-03 00:00:00.000,2 FIA LANE,TEST TOWN,NULL,NULL,X9 9AB,5734168,146509121,Test Data Internet/On Line Service,IT,Internet/On Line Service,11
63,2018-06-27 00:00:00.000,1242,2353,1242,2353,ABCDQ123456789012 1,ABCDQ123456789012,1,0,0,9,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,900,5000,4,72,2,2,0,MS,FAISAL,NULL,FROG,NULL,1974-02-18 00:00:00.000,2 ZOOFIELD GROVE,TEST TOWN,NULL,NULL,X9 9AD,5734168,146551867,Test Data Leasing Company,LS,Leasing Company,12
63,2016-04-14 15:20:58.240,3333,3337,3333,3333,ADC25623567890123 1,ADC25623567890123,0,1,0,3,2016-04-14 15:20:58.240,2016-04-14 15:20:58.240,-1567,1000,6,500,2,0,0,NULL,OSCAR,NULL,MANX,NULL,1956-01-02 00:00:00.000,606 ALLEY CAT LANE,NULL,NULL,NULL,X9 9AA,5925833,148488404,LENDER 1,FN,Finance House,4
64,2016-06-22 13:48:56.313,1780481272,1653736992,1780481272,1653736992,123456789 0,123456789,0,0,1,1,2016-06-22 13:48:56.313,NULL,1000,NULL,1,NULL,1,NULL,1,Mr,oscar,testdatarefreshDataAging,manx,NULL,2015-08-25 00:00:00.000,606,NULL,NULL,NULL,x9 9aa,5734169,148488404,Test Data Aging,AF,Agricultural Finance,999268765
64,2018-06-27 00:00:00.000,1333,1333,1333,1333,ABCD7123456789012 1,ABCD7123456789012,0,1,0,8,2018-05-27 00:00:00.000,NULL,800,15000,2,80,1,0,0,MRS,MAY,NULL,FAIRFIELD,NULL,1980-07-30 00:00:00.000,386 SUNNY STREET,TEST TOWN,NULL,NULL,X9 9AY,5925835,185674072,Test Data DebtColl,DC,Debt Collection Agency,5
64,2018-06-27 00:00:00.000,1780,1653,1780,1653,ABCD8123456789012 1,ABCD8123456789012,0,0,1,9,2018-05-27 00:00:00.000,NULL,900,500,3,90,1,0,1,MR,DENNIS,NULL,GLAMARA,NULL,1980-07-30 00:00:00.000,389 SUNNY STREET,TEST TOWN,NULL,NULL,X9 9AY,5734169,185674067,Test Data Mortgage,MC,Mortgage Company,6
64,2018-06-27 00:00:00.000,2333,2333,2333,2333,ABCDG123456789012 1,ABCD9123456789012,0,1,0,8,2018-05-27 00:00:00.000,NULL,800,15000,2,80,1,0,0,MRS,MAY,NULL,FAIRFIELD,NULL,1980-07-30 00:00:00.000,386 SUNNY STREET,TEST TOWN,NULL,NULL,X9 9AY,5925835,185674072,Test Data DebtColl,DC,Debt Collection Agency,7
64,2018-06-27 00:00:00.000,1243,2354,1243,2354,ABCDR123456789012 1,ABCDR123456789012,0,0,1,10,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,1000,5000,4,86,2,3,1,MR,DALJIT,NULL,DONKEY,NULL,1974-01-18 00:00:00.000,3 ZOOFIELD GROVE,TEST TOWN,NULL,NULL,X9 9AD,5734168,146551868,Test Data Retailer,RT,Retailer,10
64,2018-06-27 00:00:00.000,1244,2355,1244,2355,ABCDS123456789012 1,ABCDS123456789012,0,1,0,11,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,-100,5000,4,0,1,0,1,MISS,DEBRA,NULL,DEER,NULL,1974-12-17 00:00:00.000,5 ZOOFIELD GROVE,TEST TOWN,NULL,NULL,X9 9AD,5734168,146551869,Test Data Securities,SC,Securities,11
64,2018-06-27 00:00:00.000,1245,2356,1245,2356,ABCDT123456789012 1,ABCDT123456789012,0,1,1,1,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,-200,5000,3,0,1,0,1,MR,HAMISH,NULL,HAMSTER,NULL,1974-11-17 00:00:00.000,5 ZOOFIELD GROVE,TEST TOWN,NULL,NULL,X9 9AD,5734168,146551870,Test Data Student Loans,SL,Student Loans,12
64,2016-04-14 15:20:58.240,3333,3333,3333,3333,ADC25623567890123 1,ADC25623567890123,0,1,0,3,2016-04-14 15:20:58.240,2016-04-14 15:20:58.240,-1567,15000,6,500,2,0,0,NULL,OSCAR,NULL,MANX,NULL,1956-01-02 00:00:00.000,606 ALLEY CAT LANE,NULL,NULL,NULL,X9 9AA,5925835,148488404,LENDER 2,FN,Finance House,4
65,2018-06-27 00:00:00.000,1231,1335,1445,1555,ABCD9123456789012 1,ABCD9123456789012,1,0,1,10,2018-05-27 00:00:00.000,NULL,1000,NULL,6,1000,1,0,0,MR,HENRY,NULL,HOUND,NULL,1962-07-28 00:00:00.000,1 SUGAR TERRACE,TEST TOWN,NULL,NULL,X9 2TR,5925836,153944990,Test Data MotorFin,MF,Motor Vehicle Finance Company,5
65,2018-06-27 00:00:00.000,1333,1333,1333,1333,ABCDA123456789012 1,ABCDA123456789012,0,1,0,11,2018-05-27 00:00:00.000,NULL,-100,NULL,4,150,1,0,0,MR,HENRY,NULL,HOUND,NULL,1980-02-27 00:00:00.000,67 PROFESSIONAL STREET,TEST TOWN,NULL,NULL,X9 9PS,5925836,219261835,Test Data MailOrder,MO,Mail Order,6
65,2018-06-27 00:00:00.000,1223,1334,1445,1555,ABCDB223456789012 1,ABCDB123456789012,1,0,0,1,2018-05-27 00:00:00.000,NULL,-200,4000,6,300,2,2,0,MR,HARRY,NULL,HOOP,NULL,1962-08-20 00:00:00.000,1 ONE STREET,TEST TOWN,NULL,NULL,X9 9BF,5734170,151247837,Test Data Rental,RC,Rental Company,7
65,2018-06-27 00:00:00.000,2223,2334,2445,2555,ABCDD223456789012 1,ABCDD123456789012,1,0,0,1,2018-05-27 00:00:00.000,NULL,-200,4000,6,300,2,2,0,MR,HARRY,NULL,HOOP,NULL,1962-08-20 00:00:00.000,1 ONE STREET,TEST TOWN,NULL,NULL,X9 9BF,5734170,151247837,Test Data Rental,RC,Rental Company,8
65,2018-06-27 00:00:00.000,2333,2333,2333,2333,ABCDF123456789012 1,ABCDF123456789012,0,1,0,11,2018-05-27 00:00:00.000,NULL,-100,NULL,4,150,1,0,0,MR,HENRY,NULL,HOUND,NULL,1980-02-27 00:00:00.000,67 PROFESSIONAL STREET,TEST TOWN,NULL,NULL,X9 9PS,5925836,219261835,Test Data MailOrder,MO,Mail Order,9
65,2018-06-27 00:00:00.000,1246,2357,1246,2357,ABCDU123456789012 1,ABCDU123456789012,1,0,0,2,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,-300,5000,NULL,NULL,1,0,1,MISS,SALLY,NULL,SPOONBILL,NULL,1974-06-12 00:00:00.000,35 OCEAN VIEW,TEST TOWN,NULL,NULL,X9 9AE,5734168,146551373,Test Data Stockbroker,ST,Stockbroker,10
65,2018-06-27 00:00:00.000,1247,2358,1247,2358,ABCDV123456789012 1,ABCDV123456789012,1,0,1,3,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,-400,5000,3,0,1,0,1,MR,SIMON,NULL,SPARROWHAWK,NULL,1974-05-12 00:00:00.000,1 FOREST LANE,TEST TOWN,NULL,NULL,X9 9AF,5734168,146551374,Test Data Telecommunications Supplier,TC,Telecommunications Supplier,11
65,2018-06-27 00:00:00.000,1248,2359,1248,2359,ABCDW123456789012 1,ABCDW123456789012,1,1,0,4,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,-500,5000,6,0,1,0,1,MRS,SANDRA,NULL,SNIPE,NULL,1974-04-12 00:00:00.000,2 FOREST LANE,TEST TOWN,NULL,NULL,X9 9AF,5734168,146551375,Test Data Utility,UT,Utility,12
65,2018-06-27 00:00:00.000,1249,2360,1249,2360,ABCDX123456789012 1,ABCDX123456789012,0,1,1,5,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,-600,5000,3,0,1,0,1,MRS,PENCIL,NULL,RYMAN,NULL,1974-08-08 00:00:00.000,38 SKYLINE AVENUE,TEST TOWN,NULL,NULL,X9 9AG,5734168,234702483,Test Data Vehicle Rental,VR,Vehicle Rental,13
65,2018-06-06 00:00:00.000,3333,3333,3333,3333,ADC25623567890123 1,ADC25623567890123,0,1,0,2,2018-06-06 00:00:00.000,2018-06-06 00:00:00.000,1567,NULL,6,500,2,0,0,NULL,OSCAR,NULL,MANX,NULL,1956-01-02 00:00:00.000,606 ALLEY CAT LANE,NULL,NULL,NULL,X9 9AA,5925836,148488404,LENDER 3,FN,Finance House,1
65,2018-02-06 16:25:58.240,2231,3335,4445,5555,SH023456789101113 1,SH0323456789101113,1,0,1,1,NULL,NULL,-1567,NULL,6,500,1,0,0,MR,BARRY,NULL,BIZAGI,NULL,NULL,37 PREMIER LEAGUE AVENUE,TEST TOWN,NULL,NULL,X9 9PL,5925836,238863382,Test Data Loan & Instalment Credit,MO,Mortgage Provider,2
65,2018-03-22 13:48:56.313,2223,3334,4445,5555,SH123456789101112 1,SH123456789101112,1,0,0,1,2016-06-22 13:48:56.313,2016-06-22 07:55:09.053,100,4000,2,3000,1,2,0,MR,FREDDY,TEST-PERSON,FRITZ,NULL,1962-06-15 00:00:00.000,702 ALLEY CAT LANE,TEST TOWN,NULL,NULL,X9 9AA,5734170,154112593,Test Data Mortgage,SC,Mortgage Provider,4
112,2018-02-15 00:00:00.000,1111,1111,1111,1111,ABCE6123456789012 1,AWC01933567890123,1,1,1,11,2018-02-15 00:00:00.000,2016-04-14 15:20:58.240,100,10000,2,12,2,1,1,MRS,KELLY,NULL,MASSEY,NULL,1979-09-18 00:00:00.000,"8 CLARE COURT, PRESCOTT STREET",CHESHIRE,NULL,NULL,HX1 2QA,500001,219263446,Wonga,FN,Finance House,1
112,2018-02-15 00:00:00.000,1119,1111,1111,1111,ABCE6123456789012 7,AWC01933567890123,1,1,1,11,2018-02-15 00:00:00.000,2016-04-14 15:20:58.240,100,10000,2,12,2,1,1,MRS,BECKY,NULL,BOTTLE,NULL,1998-12-18 00:00:00.000,1 TELFORD ROAD,CHESHIRE,NULL,NULL,SK6 7LG,500001,219263058,Wonga,FN,Finance House,2
